code,name,industry,price,pct_change,market_cap_yi
000001,平安银行,银行,11.63,0.1723,0.0
000002,万科A,全国地产,3.34,0.3003,0.0
000006,深振业A,区域地产,6.52,2.3548,0.0
000007,全新好,其他商业,9.22,5.8553,0.0
000008,神州高铁,运输设备,2.37,0.8511,0.0
000009,中国宝安,电气设备,7.87,10.0699,0.0
000010,*ST美丽,建筑工程,1.58,4.6358,0.0
000011,深物业A,房产服务,7.94,-0.6258,0.0
000012,南玻A,玻璃,3.93,0.0,0.0
000014,沙河股份,全国地产,10.02,0.4008,0.0
000016,*ST康佳A,家用电器,2.55,3.2389,0.0
000017,深中华A,服饰,6.06,4.1237,0.0
000019,深粮控股,农业综合,6.12,0.6579,0.0
000020,深华发A,元器件,10.5,1.2536,0.0
000021,深科技,元器件,37.23,2.2241,0.0
000025,特力A,综合类,15.23,-2.6215,0.0
000026,飞亚达,服饰,16.37,1.0494,0.0
000027,深圳能源,火力发电,6.49,0.3091,0.0
000028,国药一致,医药商业,21.02,0.0952,0.0
000029,深深房A,区域地产,20.24,3.7949,0.0
000030,富奥股份,汽车配件,4.29,0.2336,0.0
000031,大悦城,全国地产,2.21,0.9132,0.0
000032,深桑达A,建筑工程,13.54,9.9919,0.0
000034,神州数码,软件服务,24.1,3.3005,0.0
000035,中国天楹,环境保护,5.03,0.3992,0.0
000036,华联控股,全国地产,3.91,1.2953,0.0
000037,深南电A,火力发电,9.16,1.7778,0.0
000039,中集集团,运输设备,8.67,-0.3448,0.0
000042,中洲控股,全国地产,8.12,0.7444,0.0
000045,深纺织A,元器件,9.62,1.0504,0.0
000048,京基智农,农业综合,18.81,10.0,0.0
000049,德赛电池,电气设备,24.4,0.2465,0.0
000050,深天马A,元器件,6.47,0.3101,0.0
000055,方大集团,其他建材,3.41,2.0958,0.0
000056,*ST皇庭,其他商业,1.91,4.3716,0.0
000058,深赛格,商品城,6.65,0.7576,0.0
000059,华锦股份,石油加工,4.63,-0.6438,0.0
000060,中金岭南,铅锌,6.31,1.2841,0.0
000061,农产品,农业综合,5.93,0.5085,0.0
000062,深圳华强,元器件,21.78,4.9133,0.0
000063,中兴通讯,通信设备,33.81,1.5315,0.0
000065,北方国际,建筑工程,9.3,0.6494,0.0
000066,中国长城,IT设备,13.74,4.4867,0.0
000068,华控赛格,环境保护,2.76,2.2222,0.0
000069,华侨城A,全国地产,1.76,1.1494,0.0
000070,特发信息,通信设备,12.68,4.1051,0.0
000078,ST海王,医药商业,1.6,1.2658,0.0
000088,盐田港,港口,4.48,0.2237,0.0
000089,深圳机场,机场,6.77,0.0,0.0
000090,天健集团,建筑工程,3.36,2.1277,0.0
000096,广聚能源,石油贸易,7.73,1.3106,0.0
000099,中信海直,空运,14.46,0.4864,0.0
000100,TCL科技,元器件,4.73,0.2119,0.0
000151,中成股份,商贸代理,9.6,1.2658,0.0
000153,丰原药业,化学制药,5.46,1.2987,0.0
000155,川能动力,新型电力,12.26,0.0,0.0
000156,华数传媒,影视音像,7.0,2.1898,0.0
000157,中联重科,工程机械,7.6,-1.6818,0.0
000158,常山北明,软件服务,13.3,6.23,0.0
000159,国际实业,石油贸易,5.35,2.4904,0.0
000166,申万宏源,证券,4.69,-0.2128,0.0
000301,东方盛虹,化纤,11.77,-1.0924,0.0
000333,美的集团,家用电器,87.6,-1.5177,0.0
000338,潍柴动力,汽车配件,27.95,7.6656,0.0
000400,许继电气,电气设备,22.8,-0.6969,0.0
000401,金隅冀东,水泥,3.66,0.0,0.0
000402,金融街,全国地产,2.49,1.2195,0.0
000403,派林生物,生物制药,10.43,0.096,0.0
000404,长虹华意,家用电器,7.81,1.6927,0.0
000407,胜利股份,供气供热,3.95,1.2821,0.0
000408,藏格矿业,农药化肥,80.62,1.0276,0.0
000409,云鼎科技,软件服务,8.79,3.2902,0.0
000410,沈阳机床,机床制造,4.93,2.0704,0.0
000411,英特集团,医药商业,9.5,0.4228,0.0
000415,渤海租赁,多元金融,4.55,3.1746,0.0
000417,合百集团,百货,5.72,1.4184,0.0
000419,通程控股,百货,4.86,0.4132,0.0
000420,吉林化纤,化纤,3.77,0.0,0.0
000421,南京公用,供气供热,5.38,0.3731,0.0
000422,湖北宜化,农药化肥,13.13,0.0,0.0
000423,东阿阿胶,中成药,54.62,-1.1224,0.0
000425,徐工机械,工程机械,8.96,-2.5027,0.0
000426,兴业银锡,铅锌,31.8,0.9524,0.0
000428,华天酒店,酒店餐饮,4.21,9.9217,0.0
000429,粤高速A,路桥,14.56,2.1038,0.0
000430,张家界,旅游景点,6.31,0.318,0.0
000488,ST晨鸣,造纸,1.99,2.0513,0.0
000498,山东路桥,建筑工程,5.1,0.5917,0.0
000501,武商集团,百货,7.24,0.9763,0.0
000503,国新健康,软件服务,7.72,7.8212,0.0
000504,南华生物,医疗保健,7.57,2.4357,0.0
000505,京粮控股,食品,5.58,0.9042,0.0
000506,招金黄金,黄金,14.52,10.0,0.0
000507,珠海港,新型电力,5.06,0.198,0.0
000509,华塑控股,元器件,2.93,3.169,0.0
000510,新金路,化工原料,13.5,3.8462,0.0
000513,丽珠集团,化学制药,31.13,0.387,0.0
000514,渝开发,区域地产,3.82,1.3263,0.0
000516,国际医学,医疗保健,4.26,0.9479,0.0
000517,荣安地产,区域地产,1.97,4.7872,0.0
000518,四环生物,生物制药,3.61,4.6377,0.0
000519,中兵红箭,专用机械,14.39,2.7857,0.0
000520,凤凰航运,水运,3.7,1.3699,0.0
000521,长虹美菱,家用电器,4.98,1.4257,0.0
000523,红棉股份,食品,2.89,0.3472,0.0
000524,岭南控股,旅游服务,9.2,2.6786,0.0
000525,红太阳,农药化肥,4.66,0.0,0.0
000526,学大教育,文教休闲,35.55,-2.147,0.0
000528,柳工,工程机械,8.78,-0.9029,0.0
000529,广弘控股,食品,4.7,0.2132,0.0
000530,冰山冷热,机械基件,4.85,1.0417,0.0
000531,穗恒运A,火力发电,5.86,0.8606,0.0
000532,华金资本,多元金融,10.65,0.7569,0.0
000533,顺钠股份,电气设备,10.41,-4.6703,0.0
000534,万泽股份,生物制药,24.7,-1.1605,0.0
000536,华映科技,元器件,3.17,2.589,0.0
000537,绿发电力,新型电力,7.76,1.5707,0.0
000538,云南白药,中成药,52.86,0.2085,0.0
000539,粤电力A,火力发电,5.58,2.3853,0.0
000541,佛山照明,家用电器,5.02,0.6012,0.0
000543,皖能电力,火力发电,7.98,0.0,0.0
000544,中原环保,环境保护,7.44,0.2695,0.0
000545,金浦钛业,化工原料,2.48,1.2245,0.0
000546,金圆股份,环境保护,4.36,1.6317,0.0
000547,航天发展,通信设备,14.17,3.0545,0.0
000548,湖南投资,路桥,4.31,1.6509,0.0
000550,江铃汽车,汽车整车,17.01,-0.5263,0.0
000551,创元科技,专用机械,12.38,2.7386,0.0
000552,甘肃能化,煤炭开采,2.59,-0.7663,0.0
000553,安道麦A,农药化肥,5.33,-0.3738,0.0
000554,泰山石油,石油贸易,6.38,-1.0853,0.0
000555,神州信息,软件服务,11.14,-0.9778,0.0
000557,西部创业,铁路,3.7,1.3699,0.0
000558,天府文旅,旅游景点,3.41,2.7108,0.0
000559,万向钱潮,汽车配件,11.23,4.8553,0.0
000560,我爱我家,房产服务,2.25,1.3514,0.0
000561,烽火电子,通信设备,7.53,0.2663,0.0
000563,陕国投A,多元金融,3.1,-0.3215,0.0
000564,供销大集,百货,1.42,1.4286,0.0
000565,渝三峡A,染料涂料,5.59,0.9025,0.0
000566,海南海药,化学制药,5.86,-1.5126,0.0
000567,海德股份,多元金融,6.17,1.4803,0.0
000568,泸州老窖,白酒,90.93,0.4307,0.0
000570,苏常柴A,农用机械,4.96,1.4315,0.0
000571,新大洲A,煤炭开采,5.86,8.3179,0.0
000572,海马汽车,汽车整车,3.79,0.0,0.0
000573,粤宏远A,区域地产,3.52,1.1494,0.0
000576,甘化科工,电气设备,6.75,2.8963,0.0
000581,威孚高科,汽车配件,17.91,-0.0558,0.0
000582,北部湾港,港口,12.41,-0.7994,0.0
000586,汇源通信,通信设备,10.65,3.4985,0.0
000589,贵州轮胎,汽车配件,4.37,-0.2283,0.0
000590,古汉医药,中成药,8.23,2.6185,0.0
000591,太阳能,新型电力,4.53,0.0,0.0
000592,平潭发展,林业,5.83,4.6679,0.0
000593,德龙汇能,供气供热,16.92,10.013,0.0
000595,新能股份,新型电力,5.42,9.9391,0.0
000596,古井贡酒,白酒,94.95,2.5489,0.0
000597,东北制药,化学制药,4.58,0.4386,0.0
000598,兴蓉环境,水务,7.36,-0.5405,0.0
000599,青岛双星,汽车配件,4.72,2.1645,0.0
000600,建投能源,火力发电,8.54,0.0,0.0
000601,韶能股份,水力发电,6.41,2.8892,0.0
000603,盛达资源,铅锌,25.4,5.5256,0.0
000605,渤海股份,水务,5.57,1.6423,0.0
000607,华媒控股,广告包装,3.51,2.6316,0.0
000608,阳光股份,区域地产,6.1,8.156,0.0
000609,*ST中迪,区域地产,9.14,2.2371,0.0
000610,*ST西旅,旅游服务,5.64,1.9892,0.0
000612,焦作万方,铝,11.09,1.1861,0.0
000615,*ST美谷,医疗保健,3.07,0.9868,0.0
000617,中油资本,多元金融,7.2,0.4184,0.0
000619,海螺新材,其他建材,4.48,0.9009,0.0
000620,盈新发展,全国地产,2.64,3.125,0.0
000623,吉林敖东,中成药,18.37,0.3825,0.0
000625,长安汽车,汽车整车,7.87,0.5109,0.0
000626,远大控股,商贸代理,6.94,0.7257,0.0
000628,高新发展,建筑工程,36.67,5.7382,0.0
000629,钒钛股份,小金属,3.08,0.6536,0.0
000630,铜陵有色,铜,6.21,1.9704,0.0
000631,顺发恒能,综合类,2.92,1.3889,0.0
000632,ST三木,综合类,3.39,-0.2941,0.0
000633,合金投资,小金属,4.9,0.4098,0.0
000635,英力特,化工原料,6.17,1.6474,0.0
000636,风华高科,元器件,49.35,-2.2772,0.0
000637,茂化实华,石油加工,3.64,1.9608,0.0
000639,ST西王,食品,1.56,2.6316,0.0
000650,仁和药业,中成药,5.43,-1.0929,0.0
000651,格力电器,家用电器,42.3,-0.4003,0.0
000652,泰达股份,批发业,3.53,0.5698,0.0
000655,金岭矿业,普钢,6.8,1.0401,0.0
000656,金科股份,全国地产,1.21,1.6807,0.0
000657,中钨高新,小金属,49.51,2.2934,0.0
000659,珠海中富,广告包装,2.62,1.9455,0.0
000661,长春高新,生物制药,81.0,0.6336,0.0
