ts_code,date,open,high,low,close,pre_close,change,pct_change,volume,amount,code,name,industry
000001.SZ,2026-06-26,10.42,10.47,10.19,10.23,10.42,-0.19,-1.8234,1236481.64,1270902.94786,000001,平安银行,银行
000002.SZ,2026-06-26,2.96,3.13,2.93,3.01,2.95,0.06,2.0339,2084130.78,628786.44896,000002,万科A,全国地产
000004.SZ,2026-06-26,0.26,0.28,0.25,0.28,0.26,0.02,7.6923,113589.3,2971.5981,000004,国华退,未分类
000006.SZ,2026-06-26,7.3,7.44,7.16,7.17,7.36,-0.19,-2.5815,191677.14,139550.68498,000006,深振业A,区域地产
000007.SZ,2026-06-26,12.75,12.9,12.3,12.66,13.03,-0.37,-2.8396,62342.12,78731.41724,000007,全新好,其他商业
000008.SZ,2026-06-26,2.31,2.31,2.24,2.25,2.34,-0.09,-3.8462,350761.1,79608.1158,000008,神州高铁,运输设备
000009.SZ,2026-06-26,6.55,6.56,6.18,6.19,6.58,-0.39,-5.9271,341025.54,215289.5443,000009,中国宝安,电气设备
000010.SZ,2026-06-26,1.79,1.87,1.78,1.78,1.82,-0.04,-2.1978,146557.8,26546.3324,000010,*ST美丽,建筑工程
000011.SZ,2026-06-26,6.81,6.88,6.6,6.63,6.86,-0.23,-3.3528,36613.6,24575.1798,000011,深物业A,房产服务
000012.SZ,2026-06-26,4.68,5.11,4.55,4.8,4.77,0.03,0.6289,1531472.82,750471.04646,000012,南玻A,玻璃
000014.SZ,2026-06-26,9.47,9.59,9.28,9.28,9.58,-0.3,-3.1315,52348.4,49192.267,000014,沙河股份,全国地产
000016.SZ,2026-06-26,2.29,2.39,2.25,2.31,2.37,-0.06,-2.5316,365528.0,83644.45328,000016,*ST康佳A,家用电器
000017.SZ,2026-06-26,5.07,5.19,4.94,5.05,5.12,-0.07,-1.3672,95454.16,48397.35444,000017,深中华A,服饰
000019.SZ,2026-06-26,5.75,5.78,5.64,5.69,5.78,-0.09,-1.5571,67829.83,38652.61615,000019,深粮控股,农业综合
000020.SZ,2026-06-26,10.88,11.11,10.69,10.85,11.07,-0.22,-1.9874,43102.0,46829.46,000020,深华发A,元器件
000021.SZ,2026-06-26,53.0,57.63,52.22,53.51,53.2,0.31,0.5827,2272891.53,12463271.5559,000021,深科技,元器件
000025.SZ,2026-06-26,14.25,14.52,13.9,14.48,14.13,0.35,2.477,76038.61,108546.36317,000025,特力A,综合类
000026.SZ,2026-06-26,20.65,20.75,19.63,19.72,20.82,-1.1,-5.2834,119195.18,239941.79827,000026,飞亚达,服饰
000027.SZ,2026-06-26,6.69,6.78,6.41,6.41,6.67,-0.26,-3.8981,504757.62,330970.70664,000027,深圳能源,火力发电
000028.SZ,2026-06-26,19.45,19.46,19.08,19.1,19.45,-0.35,-1.7995,17946.33,34422.61627,000028,国药一致,医药商业
000029.SZ,2026-06-26,24.37,25.0,23.34,23.34,24.05,-0.71,-2.9522,113974.97,273488.51076,000029,深深房A,区域地产
000030.SZ,2026-06-26,4.02,4.03,3.92,3.93,4.01,-0.08,-1.995,90383.63,35915.35503,000030,富奥股份,汽车配件
000031.SZ,2026-06-26,2.22,2.26,2.17,2.17,2.23,-0.06,-2.6906,332262.01,73316.6022,000031,大悦城,全国地产
000032.SZ,2026-06-26,25.39,25.74,24.17,24.22,25.68,-1.46,-5.6854,829465.77,2061287.19218,000032,深桑达A,建筑工程
000034.SZ,2026-06-26,27.45,28.21,26.41,26.62,27.94,-1.32,-4.7244,853951.65,2315682.8454,000034,神州数码,软件服务
000035.SZ,2026-06-26,5.05,5.1,4.94,4.95,5.04,-0.09,-1.7857,345177.0,173381.392,000035,中国天楹,环境保护
000036.SZ,2026-06-26,4.71,4.73,4.47,4.48,4.71,-0.23,-4.8832,240731.1,109993.0653,000036,华联控股,全国地产
000037.SZ,2026-06-26,9.1,9.41,8.84,8.87,9.16,-0.29,-3.1659,245895.1,224254.41058,000037,深南电A,火力发电
000039.SZ,2026-06-26,8.81,8.84,8.38,8.43,8.81,-0.38,-4.3133,451201.05,385276.58173,000039,中集集团,运输设备
000042.SZ,2026-06-26,8.93,8.95,8.14,8.34,8.95,-0.61,-6.8156,141855.44,120004.82999,000042,中洲控股,全国地产
000045.SZ,2026-06-26,10.1,10.42,9.9,10.0,10.15,-0.15,-1.4778,63769.82,64897.0733,000045,深纺织A,元器件
000048.SZ,2026-06-26,22.78,22.94,21.11,21.73,22.31,-0.58,-2.5997,315359.9,686041.82574,000048,京基智农,农业综合
000049.SZ,2026-06-26,24.64,24.64,23.07,23.1,24.78,-1.68,-6.7797,102693.08,242040.3364,000049,德赛电池,电气设备
